title,artist,year,top genre,pop
Sing,Ed Sheeran,2015,pop,71
Jealous - Remix,Nick Jonas,2015,dance pop,70
Really Don't Care,Demi Lovato,2015,dance pop,70
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,2015,dance pop,70
Only Love Can Hurt Like This,Paloma Faith,2015,british soul,69
Heartbeat Song,Kelly Clarkson,2015,dance pop,69
Up,Olly Murs,2015,dance pop,69
Trumpets,Jason Derulo,2015,dance pop,69
Runnin' (Lose It All),Naughty Boy,2015,tropical house,69
Same Old Love,Selena Gomez,2015,dance pop,69
I Want You To Know,Zedd,2015,complextro,68
Lips Are Movin,Meghan Trainor,2015,dance pop,68
I'll Show You,Justin Bieber,2015,canadian pop,68
Here,Alessia Cara,2015,canadian contemporary r&b,68
I Lived,OneRepublic,2015,dance pop,67
Fireball (feat. John Ryan),Pitbull,2015,dance pop,67
Easy Love,Sigala,2015,dance pop,67
The Feeling,Justin Bieber,2015,canadian pop,67
I Really Like You,Carly Rae Jepsen,2015,canadian pop,66
BO$$,Fifth Harmony,2015,dance pop,66
Sugar,Maroon 5,2015,pop,66
Focus,Ariana Grande,2015,dance pop,66
All About That Bass,Meghan Trainor,2015,dance pop,65
On My Mind,Ellie Goulding,2015,dance pop,65
Love Me Like You,Little Mix,2015,dance pop,65
Broken Arrows,Avicii,2015,big room,65
Booty,Jennifer Lopez,2015,dance pop,64
What Do You Mean? - Acoustic,Justin Bieber,2015,canadian pop,64
Mark My Words,Justin Bieber,2015,canadian pop,63
Lay It All on Me,Rudimental,2015,dance pop,62
American Oxygen,Rihanna,2015,barbadian pop,61
Bang Bang,Jessie J,2015,australian pop,61
Reality - Radio Edit,Lost Frequencies,2015,belgian edm,61
Alive,Sia,2015,australian dance,61
Sugar (feat. Francesco Yates),Robin Schulz,2015,dance pop,60
Been You,Justin Bieber,2015,canadian pop,60
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,2015,french indie pop,58
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,hip hop,56
Heroes (we could be),Alesso,2015,big room,56
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,2015,dance pop,55
Perfect,One Direction,2015,boy band,55
Ghosttown,Madonna,2015,dance pop,54
Bang My Head (feat. Sia & Fetty Wap),David Guetta,2015,dance pop,54
Bloodstream,Ed Sheeran,2015,pop,52
Living For Love,Madonna,2015,dance pop,52
Baby Don't Lie,Gwen Stefani,2015,dance pop,52
Don't Be so Hard on Yourself,Jess Glynne,2015,dance pop,52
Steal My Girl,One Direction,2015,boy band,51
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,2015,dance pop,50
We Are Here,Alicia Keys,2015,hip pop,49
St Jude,Florence + The Machine,2015,art pop,47
Yesterday (feat. Bebe Rexha),David Guetta,2015,dance pop,46
Time of Our Lives,Pitbull,2015,dance pop,45
Sparks,Hilary Duff,2015,dance pop,44
Mr. Put It Down,Ricky Martin,2015,dance pop,42
Legendary Lovers,Katy Perry,2015,dance pop,41
Spark The Fire,Gwen Stefani,2015,dance pop,39
Run Run Run,Kelly Clarkson,2015,dance pop,36
Let Me Be Your Lover,Enrique Iglesias,2015,dance pop,34
Dangerous,Jennifer Hudson,2015,dance pop,18
L.A.LOVE (la la),Fergie,2015,dance pop,0
The Hills,The Weeknd,2016,canadian contemporary r&b,84
Love Yourself,Justin Bieber,2016,canadian pop,83
Cake By The Ocean,DNCE,2016,dance pop,81
Don't Let Me Down,The Chainsmokers,2016,electropop,81
In the Name of Love,Martin Garrix,2016,big room,81
Into You,Ariana Grande,2016,dance pop,80
This Is What You Came For,Calvin Harris,2016,dance pop,80
Million Reasons,Lady Gaga,2016,dance pop,80
Needed Me,Rihanna,2016,barbadian pop,80
7 Years,Lukas Graham,2016,danish pop,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,dance pop,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,dance pop,79
Scars To Your Beautiful,Alessia Cara,2016,canadian contemporary r&b,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2016,dance pop,79
Work,Rihanna,2016,barbadian pop,78
Stitches,Shawn Mendes,2016,canadian pop,78
"Me, Myself & I",G-Eazy,2016,hip hop,78
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016,dance pop,78
Dangerous Woman,Ariana Grande,2016,dance pop,78
Starving,Hailee Steinfeld,2016,dance pop,78
Shout Out to My Ex,Little Mix,2016,dance pop,77
Electric Love,BØRNS,2016,electropop,76
Confident,Demi Lovato,2016,dance pop,75
Too Good,Drake,2016,canadian hip hop,74
Roses,The Chainsmokers,2016,electropop,74
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016,dance pop,73
Me Too,Meghan Trainor,2016,dance pop,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,2016,dance pop,73
Ain't Your Mama,Jennifer Lopez,2016,dance pop,72
Close,Nick Jonas,2016,dance pop,72
Toothbrush,DNCE,2016,dance pop,72
All We Know,The Chainsmokers,2016,electropop,72
Final Song,MØ,2016,dance pop,72
Company,Justin Bieber,2016,canadian pop,72
Hands To Myself,Selena Gomez,2016,dance pop,71
All I Ask,Adele,2016,british soul,71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,2016,dance pop,71
NO,Meghan Trainor,2016,dance pop,70
Kill Em With Kindness,Selena Gomez,2016,dance pop,70
Cool Girl,Tove Lo,2016,dance pop,69
Runnin' (Lose It All),Naughty Boy,2016,tropical house,69
Here,Alessia Cara,2016,canadian contemporary r&b,68
Perfect Illusion,Lady Gaga,2016,dance pop,67
PILLOWTALK,ZAYN,2016,dance pop,66
Out Of The Woods,Taylor Swift,2016,pop,66
Rise,Katy Perry,2016,dance pop,66
Wherever I Go,OneRepublic,2016,dance pop,66
Body Say,Demi Lovato,2016,dance pop,65
Don't Be A Fool,Shawn Mendes,2016,canadian pop,65
LIKE I WOULD,ZAYN,2016,dance pop,65
Cheap Thrills,Sia,2016,australian dance,64
I Got You,Bebe Rexha,2016,dance pop,64
Run Away With Me,Carly Rae Jepsen,2016,canadian pop,63
Cruel (feat. ZAYN),Snakehips,2016,dance pop,63
Send My Love (To Your New Lover),Adele,2016,british soul,61
WTF (Where They From),Missy Elliott,2016,dance pop,58
Desire,Years & Years,2016,dance pop,58
When We Were Young,Adele,2016,british soul,58
I Know What You Did Last Summer,Shawn Mendes,2016,canadian pop,57
Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,2016,art pop,57
Hurts,Emeli Sandé,2016,dance pop,57
Change,Christina Aguilera,2016,dance pop,54
Make Me... (feat. G-Eazy),Britney Spears,2016,dance pop,53
Keeping Your Head Up,Birdy,2016,neo mellow,52
True Colors,Zedd,2016,complextro,51
Make Me Like You,Gwen Stefani,2016,dance pop,50
Champagne Problems,Nick Jonas,2016,dance pop,50
Blown,DNCE,2016,dance pop,48
Start,John Legend,2016,neo mellow,47
Pep Rally,Missy Elliott,2016,dance pop,47
Higher,Carly Rae Jepsen,2016,canadian pop,46
Invitation,Britney Spears,2016,dance pop,44
One Call Away (feat. Tyga) - Remix,Charlie Puth,2016,dance pop,41
Beautiful Birds (feat. Birdy),Passenger,2016,folk-pop,36
Little Lies,Hilary Duff,2016,dance pop,36
Do You Wanna Come Over?,Britney Spears,2016,dance pop,34
BURNITUP!,Janet Jackson,2016,dance pop,31
Picky - Remix,Joey Montana,2016,latin,29
Behind Your Back,Nelly Furtado,2016,canadian latin,18
Million Years Ago,Adele,2016,british soul,0
Shape of You,Ed Sheeran,2017,pop,87
Closer,The Chainsmokers,2017,electropop,86
Starboy,The Weeknd,2017,canadian contemporary r&b,85
Treat You Better,Shawn Mendes,2017,canadian pop,84
That's What I Like,Bruno Mars,2017,pop,83
Let Me Love You,DJ Snake,2017,electronic trap,82
I Feel It Coming,The Weeknd,2017,canadian contemporary r&b,81
Mercy,Shawn Mendes,2017,canadian pop,81
Side To Side,Ariana Grande,2017,dance pop,80
Stay,Zedd,2017,complextro,80
It Ain't Me (with Selena Gomez),Kygo,2017,edm,79
Malibu,Miley Cyrus,2017,dance pop,78
Something Just Like This,The Chainsmokers,2017,electropop,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017,dance pop,78
I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,2017,dance pop,78
My Way,Calvin Harris,2017,dance pop,78
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017,dance pop,77
Praying,Kesha,2017,dance pop,77
Despacito - Remix,Luis Fonsi,2017,latin,76
The Greatest,Sia,2017,australian dance,76
There for You,Martin Garrix,2017,big room,76
Paris,The Chainsmokers,2017,electropop,76
Crying in the Club,Camila Cabello,2017,dance pop,75
Mama,Jonas Blue,2017,dance pop,75
Slide (feat. Frank Ocean & Migos),Calvin Harris,2017,dance pop,75
Swish Swish,Katy Perry,2017,dance pop,73
Chained To The Rhythm,Katy Perry,2017,dance pop,72
Cold (feat. Future),Maroon 5,2017,pop,72
Love,Lana Del Rey,2017,art pop,72
Reggaetón Lento (Remix),CNCO,2017,boy band,71
All I Ask,Adele,2017,british soul,71
First Time,Kygo,2017,edm,71
The Cure,Lady Gaga,2017,dance pop,71
"How Far I'll Go - From ""Moana""",Alessia Cara,2017,canadian contemporary r&b,71
Bodak Yellow,Cardi B,2017,pop,70
Rich Love (with Seeb),OneRepublic,2017,dance pop,70
Tired,Alan Walker,2017,electro house,70
Came Here for Love,Sigala,2017,dance pop,70
24K Magic,Bruno Mars,2017,pop,69
Strip That Down (feat. Quavo),Liam Payne,2017,dance pop,69
Cut To The Feeling,Carly Rae Jepsen,2017,canadian pop,69
OK - Spotify Version,Robin Schulz,2017,dance pop,69
Bon appétit,Katy Perry,2017,dance pop,68
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,2017,art pop,67
Get Low (with Liam Payne),Zedd,2017,complextro,66
Kissing Strangers,DNCE,2017,dance pop,66
Slow Hands,Niall Horan,2017,dance pop,64
Younger Now,Miley Cyrus,2017,dance pop,62
Body Moves,DNCE,2017,dance pop,62
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,2017,belgian edm,59
Angel,Fifth Harmony,2017,dance pop,59
Touch (feat. Kid Ink),Little Mix,2017,dance pop,59
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,2017,dance pop,59
Love Incredible (feat. Camila Cabello),Cashmere Cat,2017,downtempo,59
No Vacancy (with Sebastián Yatra),OneRepublic,2017,dance pop,57
Rich Boy,Galantis,2017,big room,55
Lust for Life (with The Weeknd),Lana Del Rey,2017,art pop,54
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,2017,dance pop,54
Influence,Tove Lo,2017,dance pop,54
Remember I Told You,Nick Jonas,2017,dance pop,53
Messin' Around,Pitbull,2017,dance pop,51
Water Under the Bridge,Adele,2017,british soul,49
Free Me,Sia,2017,australian dance,44
Kissing Strangers - Remix,DNCE,2017,dance pop,43
A L I E N S,Coldplay,2017,permanent wave,41
One Kiss (with Dua Lipa),Calvin Harris,2018,dance pop,86
Havana (feat. Young Thug),Camila Cabello,2018,dance pop,85
I Like It,Cardi B,2018,pop,85
New Rules,Dua Lipa,2018,dance pop,84
There's Nothing Holdin' Me Back,Shawn Mendes,2018,canadian pop,84
no tears left to cry,Ariana Grande,2018,dance pop,84
IDGAF,Dua Lipa,2018,dance pop,84
In My Blood,Shawn Mendes,2018,canadian pop,83
Wolves,Selena Gomez,2018,dance pop,83
Dusk Till Dawn - Radio Edit,ZAYN,2018,dance pop,83
Attention,Charlie Puth,2018,dance pop,83
Electricity (with Dua Lipa),Silk City,2018,edm,82
Love On The Brain,Rihanna,2018,barbadian pop,82
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2018,dance pop,82
Silence,Marshmello,2018,brostep,82
Sorry Not Sorry,Demi Lovato,2018,dance pop,81
Shallow - Radio Edit,Lady Gaga,2018,dance pop,80
These Days,Rudimental,2018,dance pop,80
What Lovers Do (feat. SZA),Maroon 5,2018,pop,79
Finesse - Remix; feat. Cardi B,Bruno Mars,2018,pop,78
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2018,pop,78
Bad At Love,Halsey,2018,dance pop,78
Him & I (with Halsey),G-Eazy,2018,hip hop,78
Friends (with BloodPop®),Justin Bieber,2018,canadian pop,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2018,dance pop,76
My My My!,Troye Sivan,2018,dance pop,76
Capital Letters,Hailee Steinfeld,2018,dance pop,76
Sick Boy,The Chainsmokers,2018,electropop,76
Tequila,Dan + Shay,2018,contemporary country,76
Look What You Made Me Do,Taylor Swift,2018,pop,75
Youth (feat. Khalid),Shawn Mendes,2018,canadian pop,75
Bad Liar,Selena Gomez,2018,dance pop,75
Anywhere,Rita Ora,2018,dance pop,74
Say Something,Justin Timberlake,2018,dance pop,74
Chun-Li,Nicki Minaj,2018,dance pop,73
Sign of the Times,Harry Styles,2018,dance pop,72
Familiar,Liam Payne,2018,dance pop,72
Let Me,ZAYN,2018,dance pop,72
Supernova,Ansel Elgort,2018,dance pop,72
Nervous,Shawn Mendes,2018,canadian pop,71
First Time,Kygo,2018,edm,71
End Game,Taylor Swift,2018,pop,70
Mi Gente (feat. Beyoncé),J Balvin,2018,latin,68
Lemon,N.E.R.D,2018,hip hop,68
For You (With Rita Ora),Liam Payne,2018,dance pop,67
Want To,Dua Lipa,2018,dance pop,67
What I Need (feat. Kehlani),Hayley Kiyoko,2018,dance pop,67
Wait,Maroon 5,2018,pop,67
What About Us,P!nk,2018,dance pop,66
Kissing Strangers,DNCE,2018,dance pop,66
2U (feat. Justin Bieber),David Guetta,2018,dance pop,65
Walk On Water (feat. Beyoncé),Eminem,2018,detroit hip hop,65
This Town,Niall Horan,2018,dance pop,64
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,2018,dance pop,64
MOVE TO MIAMI,Enrique Iglesias,2018,dance pop,64
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,2018,downtempo,64
Filthy,Justin Timberlake,2018,dance pop,62
Never Be the Same - Radio Edit,Camila Cabello,2018,dance pop,57
Ferrari,Bebe Rexha,2018,dance pop,57
Supplies,Justin Timberlake,2018,dance pop,57
Boom Boom,RedOne,2018,moroccan pop,53
...Ready For It? - BloodPop® Remix,Taylor Swift,2018,pop,52
Drip (feat. Migos),Cardi B,2018,pop,45
Tell Me You Love Me - NOTD Remix,Demi Lovato,2018,dance pop,44
Memories,Maroon 5,2019,pop,99
Lose You To Love Me,Selena Gomez,2019,dance pop,97
Someone You Loved,Lewis Capaldi,2019,pop,96
Señorita,Shawn Mendes,2019,canadian pop,95
How Do You Sleep?,Sam Smith,2019,pop,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,2019,pop,92
Trampoline (with ZAYN),SHAED,2019,electropop,92
Happier,Marshmello,2019,brostep,90
Truth Hurts,Lizzo,2019,escape room,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019,escape room,90
Higher Love,Kygo,2019,edm,88
Only Human,Jonas Brothers,2019,boy band,87
Beautiful People (feat. Khalid),Ed Sheeran,2019,pop,86
Sucker,Jonas Brothers,2019,boy band,86
Don't Call Me Up,Mabel,2019,dance pop,86
I Don't Care (with Justin Bieber),Ed Sheeran,2019,pop,85
Talk (feat. Disclosure),Khalid,2019,alternative r&b,84
Giant (with Rag'n'Bone Man),Calvin Harris,2019,dance pop,84
Takeaway,The Chainsmokers,2019,electropop,83
All Around The World (La La La),R3HAB,2019,big room,82
Girls Like You (feat. Cardi B),Maroon 5,2019,pop,81
Call You Mine,The Chainsmokers,2019,electropop,81
No Guidance (feat. Drake),Chris Brown,2019,dance pop,81
Antisocial (with Travis Scott),Ed Sheeran,2019,pop,78
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019,electronic trap,77
Con Calma - Remix,Daddy Yankee,2019,latin,76
Find U Again (feat. Camila Cabello),Mark Ronson,2019,dance pop,75
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,2019,pop,75
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,2019,dance pop,70
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019,dance pop,69
Kills You Slowly,The Chainsmokers,2019,electropop,67
